
# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_deathrowzone                     Death Row Only                   

interfacetopbar_prisonercells_minseconly             Minimum only capacity: *X -> Minimum capacity: *X
interfacetopbar_prisonercells_medseconly             Medium only capacity: *X -> Medium capacity: *X
interfacetopbar_prisonercells_maxseconly             Maximum only capacity: *X -> Maximum capacity: *X
interfacetopbar_prisonercells_protectedonly          Protected only capacity: *X -> Protected capacity: *X
interfacetopbar_prisonercells_supermaxonly           SuperMax only capacity: *X -> SuperMax capacity: *X
interfacetopbar_prisonercells_deathrowonly           Death Row capacity: *X           

interfacetopbar_tension_lockedupprisoners            + *X prisoners are locked up for no reason -> + *X prisoners are shackled in their cells or in solitary

# =============================================================================
# Hardware Compatibility
# =============================================================================

connectionmenu_connect                               Connect                          
connectionmenu_disconnect                            Disconnect                       
connectionmenu_clear                                 Clear                            
connectionmenu_done                                  Done                             

# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_category_deathrow                           Death Row                        

rapsheet_scheduleexecution                           Schedule Execution               

punish_solitary_perm                                 Solitary (Permanent)             
punish_lockdown_perm                                 Lockdown (Permanent)             
punish_permanent                                     (Permanent)                      

# =============================================================================
# Research Names + Captions
# =============================================================================

research_deathrow                                    Death Row                        
research_permanentpunishment                         Permanent Punishments            
research_removemincellsize                           Small Cells                      
research_reduceexecutionliability                    Reduce Execution Liability       

researchtooltip_legal                                (CURRENTLY SERVES NO PURPOSE)\n\nUnlocks the Lawyer.\nLawyers can reduce the overall number of Penalty Points you have been awarded, and you can hire as many of them as you need.\n\nLike all Administrators, he requires an office to work.   -> Unlocks the Lawyer, who can be hired from the Staff toolbar. Unlocks a number of research options to give you greater control over your prison.\n\nLike all Administrators, he requires an office to work.  
researchtooltip_permanentpunishment                  Sometimes being in Prison just isn't locked away enough. Your lawyer can file the necessary papers to let you confine prisoners to a cell, permanently. 
researchtooltip_removemincellsize                    The cells in your prison require a certain amount of space to fit legal requirements. But imagine how many more cells you could fit in if that wasn't the case! Removes the minimum size requirements for standard cells.
researchtooltip_lowerconvictionstrength              Your lawyer lobbies for a reduction in the required strength of the conviction before death row proceedings can be properly started. Essentially lowers the number of appeals a prisoner gets before you can schedule their execution without liability.

# =============================================================================
# Valuation, Reports etc
# =============================================================================

report_staff_group_prisoners_deathrow                Death Row                        

report_intake_cat_deathrow                           Death Row                        
report_intake_slider_deathrow                        Adjust the Death Row intake ratio
report_intake_locked                                 LOCKED                           
report_intake_list_tooltip_dr                        \n\nDeathrow inmates require a specifically designated Deathrow cell before they are able to be transferred in to your prison. The Deathrow intake is also a lot slower than regular intake, and you won't always get an increase to the Deathrow pool. These inmates are few and far between.

job_healprisoner                                     Heal Prisoner                    
       

victory_executions                                   Illegal Executions               

victory_adviserwarning_executions1                   This is the second time that you have put an innocent prisoner to death. The public outrage is enormous.
victory_adviserwarning_executions2                   If another innocent prisoner is executed, you will be held responsible.
victory_advisernotice_executions1                    You have allowed too many innocent people to be executed. We can not longer allow you to run this prison. You have failed.

score_clemencychance                                 Likelihood of Clemency           
score_convictionstrength                             State Approved Conviction Strength
