
# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_deathrowzone                     Solo Braccio della Morte

interfacetopbar_prisonercells_minseconly             Capacità sic. Minima: *X
interfacetopbar_prisonercells_medseconly             Capacità sic. Media: *X
interfacetopbar_prisonercells_maxseconly             Capacità sic. Massima: *X
interfacetopbar_prisonercells_protectedonly          Capacità detenuti protetti: *X
interfacetopbar_prisonercells_supermaxonly           Capacità sic. SuperMassima: *X
interfacetopbar_prisonercells_deathrowonly           Capacità Braccio della Morte: *X

interfacetopbar_tension_lockedupprisoners            + *X detenuti sono rinchiusi nelle celle o in Isolamento

# =============================================================================
# Hardware Compatibility
# =============================================================================

connectionmenu_connect                               Connesso
connectionmenu_disconnect                            Disconnesso
connectionmenu_clear                                 Niente
connectionmenu_done                                  Fatto

# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_category_deathrow                           Braccio della Morte

rapsheet_scheduleexecution                           Programma Esecuzioni

punish_solitary_perm                                 Isolamento (Permanente)
punish_lockdown_perm                                 Rinchiuso (Permanente)
punish_permanent                                     (Permanente)

# =============================================================================
# Research Names + Captions
# =============================================================================

research_deathrow                                    Braccio della Morte
research_permanentpunishment                         Punizioni Permanenti
research_removemincellsize                           Celle Piccole
research_reduceexecutionliability                   Riduzione responsabilità per le Esecuzioni

researchtooltip_legal                                Sblocca l'Avvocato, che può essere assunto dal pannello Personale, fornisce delle opzioni di ricerca per un controllo più accurato della Prigione.\n\nCome tutti gli Amministratori ha bisogno di un ufficio.

researchtooltip_permanentpunishment                  A volte essere in una Prigione non è sufficiente. L'Avvocato può ottenere le autorizzazioni per rinchiudere un detenuto nella sua cella, permanentemente. 

researchtooltip_removemincellsize                    Le celle della Prigione richiedono una dimensione minima per ragioni legali. Immagina quante puoi costruine in più senza queste restrinzioni! Rimuove le dimensioni minime per le celle standard.

researchtooltip_lowerconvictionstrength              I tuoi Avvocati negoziano per una riduzione della condanna necessaria per le procedure del Braccio della Morte. In pratica diminuisce il numero di appelli che un detenuto può ottenere prima che tu possa programmare la sua esecuzione, senza avere penalità morali.

# =============================================================================
# Valuation, Reports etc
# =============================================================================

report_staff_group_prisoners_deathrow                Braccio della Morte
report_intake_slider_normal                       Regola l'arrivo di Detenuti Med 
report_intake_slider_maxsec                       Regola l'arrivo di Detenuti Max 

report_intake_cat_deathrow                           Braccio della Morte
report_intake_slider_deathrow                        Regola gli arrivi per il Braccio della Morte
report_intake_closed                              CHIUSO                         
report_intake_locked                                 CHIUSO                           
report_intake_list_tooltip_dr                        \n\nI Detenuti nel Braccio della Morte necessitano di Celle specifiche prima di porter essere trasferite nella tua Prigione. L'arrivo di questi detenuti è minore degli altri, non vorrai avere a che fare con loro. Questi detenuti sono pochi e rari.

job_healprisoner                                     Cura Detenuto
       

victory_executions                                   Esecuzioni Illegali

victory_adviserwarning_executions1                   Questa è la seconda volta che giustizi un detenuto innocente. L'indignazione generale è enorme.
victory_adviserwarning_executions2                   Se un altro detenuto innocente verrà giustiziato sarai ritenuto responsabile.
victory_advisernotice_executions1                    Hai permesso che troppi innocenti fossero giustiziati. Non possiamo più permetterti di amministrare questa prigione. Hai fallito.

score_clemencychance                                 Probabilità di clemenza
score_convictionstrength                             Gravità Condanna
score_prisonersexecuted                              Detenuti Giustiziati (Innocenti)
score_prisonersexecuted_info                         *G (*I)

score_tooltip_clemencychance_title                   Probabilità di clemenza

score_tooltip_clemencychance                         La probabilità che al detenuto verrà concessa clemenza e che verrà cambiata la sentenza. Ogni tentativo d'appello non riuscito abbassa il valore finché andrà al di sotto dello standard dello stato, nel qual caso avrai la piena autorizzazione a procedere. Programmare l'esecuzione prima di ciò ti farà ricevere pesanti penalità se si verrà a sapere che l'appello del detenuto avrebbe avuto successo.\n\nSe verrà garantita clemenza il detenuto verrà immediatamente rilasciato (se innocente) o trasferito in Massima Sicurezza (se ritenuto ancora colpevole.)

score_tooltip_currentchance                          Gravità Condanna *X%

score_tooltip_clemencywarning                       La probabilità che al detenuto venga concessa clemenza, in questo momento, è sopra il livello di Gravità Condanna. Se procedi con l'esecuzione sarai ritenuto personalmente responsabile in caso in futuro si verrà a sapere che gli sarebbe stata concessa effettivamente clemenza.

schedule_zone_deathrowonly                           Braccio della Morte

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_intake_deathrow                            Braccio della Morte

# =============================================================================
# Materials
# =============================================================================
                                              
                                                                                                       
object_executionwitness                              Testimoni Esecuzione
object_appealslawyer                                 Avvocato d'appello
object_appealsmagistrate                           Giudice d'appello

room_intake                                          Nuovi Giunti

reformprogram_deathrowappeal                         Appello Braccio della Morte

